N,graph,r,p_Bd,fix_prob,fix_time
50,complete,1.008,0.7000000000000001,0.029,1814.551724137931
50,complete,1.008,0.8,0.031,2049.483870967742
50,complete,1.008,0.9,0.025,2566.36
50,complete,1.008,1.0,0.024,2142.125
50,complete,1.01,0.0,0.024,1921.4166666666667
50,complete,1.01,0.1,0.021,2017.2857142857142
50,complete,1.01,0.2,0.021,2528.095238095238
50,complete,1.01,0.30000000000000004,0.026,1960.076923076923
50,complete,1.01,0.4,0.027,2321.8888888888887
50,complete,1.01,0.5,0.024,2306.4166666666665
50,complete,1.01,0.6000000000000001,0.024,2401.8333333333335
50,complete,1.01,0.7000000000000001,0.025,2136.8
50,complete,1.01,0.8,0.035,2359.7714285714287
50,complete,1.01,0.9,0.03,2517.266666666667
50,complete,1.01,1.0,0.02,1937.15
50,cycle,0.99,0.0,0.017,22163.470588235294
50,cycle,0.99,0.1,0.021,21113.52380952381
50,cycle,0.99,0.2,0.013,22889.923076923078
50,cycle,0.99,0.30000000000000004,0.019,17844.78947368421
50,cycle,0.99,0.4,0.011,22105.0
50,cycle,0.99,0.5,0.018,22480.166666666668
50,cycle,0.99,0.6000000000000001,0.016,18863.3125
50,cycle,0.99,0.7000000000000001,0.013,18739.30769230769
50,cycle,0.99,0.8,0.014,21250.571428571428
50,cycle,0.99,0.9,0.018,23967.61111111111
50,cycle,0.99,1.0,0.021,17525.571428571428
50,cycle,0.992,0.0,0.025,24759.84
50,cycle,0.992,0.1,0.019,19367.842105263157
50,cycle,0.992,0.2,0.007,28997.285714285714
50,cycle,0.992,0.30000000000000004,0.017,21592.647058823528
50,cycle,0.992,0.4,0.017,18287.529411764706
50,cycle,0.992,0.5,0.017,22842.647058823528
50,cycle,0.992,0.6000000000000001,0.016,26201.875
50,cycle,0.992,0.7000000000000001,0.024,23157.958333333332
50,cycle,0.992,0.8,0.018,18983.833333333332
50,cycle,0.992,0.9,0.022,23728.136363636364
50,cycle,0.992,1.0,0.016,17787.0
50,cycle,0.994,0.0,0.023,23661.391304347828
50,cycle,0.994,0.1,0.016,18963.5625
50,cycle,0.994,0.2,0.015,21300.266666666666
50,cycle,0.994,0.30000000000000004,0.021,21700.85714285714
50,cycle,0.994,0.4,0.018,25287.055555555555
50,cycle,0.994,0.5,0.014,18296.64285714286
50,cycle,0.994,0.6000000000000001,0.015,14216.8
50,cycle,0.994,0.7000000000000001,0.02,24799.4
50,cycle,0.994,0.8,0.022,22330.909090909092
50,cycle,0.994,0.9,0.017,19589.352941176472
50,cycle,0.994,1.0,0.016,20583.0625
50,cycle,0.996,0.0,0.024,21989.875
50,cycle,0.996,0.1,0.013,20006.846153846152
50,cycle,0.996,0.2,0.021,20704.571428571428
50,cycle,0.996,0.30000000000000004,0.013,27394.53846153846
50,cycle,0.996,0.4,0.016,21037.5
50,cycle,0.996,0.5,0.011,16893.272727272728
50,cycle,0.996,0.6000000000000001,0.009,23888.444444444445
50,cycle,0.996,0.7000000000000001,0.018,21829.166666666668
50,cycle,0.996,0.8,0.022,21453.363636363636
50,cycle,0.996,0.9,0.025,19990.0
50,cycle,0.996,1.0,0.027,20194.59259259259
50,cycle,0.998,0.0,0.023,20681.869565217392
50,cycle,0.998,0.1,0.021,17234.714285714286
50,cycle,0.998,0.2,0.014,31127.0
50,cycle,0.998,0.30000000000000004,0.02,22611.85
50,cycle,0.998,0.4,0.024,25432.958333333332
50,cycle,0.998,0.5,0.017,26661.470588235294
50,cycle,0.998,0.6000000000000001,0.025,15558.6
