,N,graph,p_Bd,r,abs_time_uniform,fix_prob_uniform,abs_time_temp,fix_prob_temp,abs_time_uniform_1,abs_time_uniform_2,abs_time_uniform_3,abs_time_uniform_4,abs_time_uniform_5,fix_prob_uniform_1,fix_prob_uniform_2,fix_prob_uniform_3,fix_prob_uniform_4,fix_prob_uniform_5
144,5,44557b0a,0.1,1.0,8.624174021181599,0.20000000000000026,8.64150929359043,0.2016959449851995,8.818124072817898,8.1196946300967,8.1196946300967,8.818124072817898,9.245232700078795,0.21247140031798994,0.154147438631869,0.15414743863186894,0.21247140031798997,0.2667623221002834
145,5,44557b0a,0.2,1.0,8.792051622414158,0.20000000000000034,8.806406957619284,0.2025201153787768,8.887718525089666,8.57490019168359,8.574900191683586,8.887718525089667,9.035020678524276,0.21011082435099476,0.16547745559435287,0.1654774555943528,0.21011082435099482,0.24882344010930663
146,5,44557b0a,0.30000000000000004,1.0,8.975056158612087,0.20000000000000018,8.964755448497383,0.20249972101327995,8.962551748764934,9.061025534027507,9.061025534027506,8.962551748764936,8.828126227475558,0.20723133578841665,0.17687758062716238,0.17687758062716233,0.2072313357884167,0.2317821671688429
147,5,44557b0a,0.4,1.0,9.17538973610489,0.20000000000000032,9.11700804335246,0.20165498442367633,9.043120381917507,9.583429154239036,9.583429154239035,9.043120381917507,8.623849608211357,0.2038551401869162,0.18837616822429942,0.18837616822429937,0.2038551401869162,0.21553738317757037
148,5,44557b0a,0.5,1.0,9.395757391771609,0.20000000000000034,9.263640224206215,0.20000000000000032,9.130055682397739,10.148599085582433,10.148599085582433,9.130055682397737,8.421477422897702,0.20000000000000032,0.2000000000000004,0.2000000000000004,0.20000000000000032,0.2000000000000003
149,5,44557b0a,0.6000000000000001,1.0,9.639515889662706,0.20000000000000032,9.405170414237684,0.19754341380770885,9.224160553785051,10.764497514462285,10.764497514462287,9.224160553785051,8.220263311818846,0.19567979669631544,0.21177467174925904,0.21177467174925918,0.19567979669631536,0.1850910631088524
150,5,44557b0a,0.7000000000000001,1.0,9.91087944329258,0.2,9.542187044593629,0.19428895919526243,9.326461161792773,11.441035656514298,11.441035656514297,9.326461161792773,8.019403579848767,0.1909049820950527,0.22372492438201866,0.22372492438201858,0.19090498209505274,0.17074018704585747
151,5,44557b0a,0.8,1.0,10.215209379639703,0.20000000000000057,9.675385251590942,0.19023587493143224,9.43828000463422,12.190740950937146,12.190740950937142,9.438280004634223,7.818004987055777,0.18568294020844808,0.2358749314317068,0.23587493143170665,0.18568294020844814,0.15688425671969322
152,5,44557b0a,0.9,1.0,10.55943050246738,0.20000000000000046,9.805618377023873,0.185379226317393,9.56134131261903,13.029714746856248,13.029714746856246,9.561341312619032,7.6150403933863435,0.18001827596710357,0.24824855315260502,0.24824855315260483,0.18001827596710365,0.1434663417605851
153,5,44557b0a,1.0,1.0,10.952643778027062,0.20000000000000034,9.93397265098003,0.1797101449275365,9.697926496707902,13.979040299615145,13.979040299615146,9.697926496707902,7.409285297489215,0.17391304347826111,0.2608695652173918,0.26086956521739185,0.17391304347826117,0.13043478260869584
154,5,4454770a,0.0,1.0,8.812710437710436,0.19999999999999993,8.812710437710436,0.19999999999999996,9.21741452991453,7.213400025900023,9.21741452991453,8.19752007252007,10.217803030303028,0.24999999999999992,0.08333333333333327,0.24999999999999992,0.16666666666666657,0.2499999999999999
155,5,4454770a,0.1,1.0,9.130252301343575,0.19999999999999993,9.162305256840725,0.20227758007117427,9.335302593427286,8.118372702745186,9.335302593427285,8.671727032533553,10.190556584584561,0.2408066429418742,0.10320284697508884,0.24080664294187418,0.17437722419928825,0.24080664294187412
156,5,4454770a,0.2,1.0,9.481442189715377,0.19999999999999998,9.512661227905474,0.2035069885641677,9.465565333493183,9.12289108757573,9.465565333493183,9.194911227371382,10.158277966643407,0.2312579415501906,0.12452350698856407,0.23125794155019064,0.18170266836086404,0.23125794155019055
157,5,4454770a,0.30000000000000004,1.0,9.872459585780282,0.19999999999999993,9.864107183678607,0.20360655737704908,9.610190886370155,10.245445725186565,9.610190886370157,9.776620134343288,10.119850296631252,0.221311475409836,0.1475409836065573,0.221311475409836,0.1885245901639344,0.22131147540983595
158,5,4454770a,0.4,1.0,10.311126834006673,0.19999999999999996,10.217033239557452,0.20247787610619464,9.771679808283588,11.509457444984566,9.771679808283588,10.428969642374488,10.073847466107132,0.21091445427728614,0.17256637168141584,0.21091445427728608,0.19469026548672563,0.21091445427728606
159,5,4454770a,0.5,1.0,10.807497701626456,0.19999999999999987,10.571911469388414,0.19999999999999987,9.953226827110704,12.945045117891027,9.953226827110708,11.167567676836558,10.018422059183289,0.1999999999999999,0.19999999999999973,0.1999999999999999,0.19999999999999993,0.19999999999999984
160,5,4454770a,0.6000000000000001,1.0,11.374718967964636,0.19999999999999996,10.92932596706693,0.19602094240837695,10.158986691772053,14.591613636200139,10.158986691772053,12.012866693990743,9.951141126088185,0.1884816753926701,0.2303664921465968,0.18848167539267016,0.20418848167539266,0.18848167539267013
161,5,4454770a,0.7000000000000001,1.0,12.030325263874989,0.19999999999999976,11.2900177739959,0.19034482758620663,10.394473438921025,16.50174347660247,10.394473438921025,12.992196780519128,9.868739184411295,0.17624521072796917,0.2643678160919536,0.17624521072796917,0.2068965517241378,0.1762452107279691
162,5,4454770a,0.8,1.0,12.798244685732502,0.1999999999999999,11.65495415971845,0.18271186440677956,10.667178499168147,18.74721562647485,10.667178499168147,14.142915405561538,9.766735398289823,0.16313559322033888,0.30296610169491506,0.16313559322033894,0.20762711864406777,0.1631355932203389
163,5,4454770a,0.9,1.0,13.712016361318902,0.19999999999999965,12.025439382408967,0.17276595744680823,10.987561898563015,21.428677590451564,10.987561898563015,15.517461290286423,9.638819128730486,0.14893617021276573,0.3475177304964531,0.14893617021276576,0.205673758865248,0.14893617021276567
164,5,4454770a,1.0,1.0,14.82017028496251,0.19999999999999965,12.403299396012208,0.15999999999999975,11.37070904111685,24.691805580075567,11.370709041116852,17.19180558007558,9.475822182427693,0.13333333333333322,0.39999999999999875,0.13333333333333325,0.19999999999999993,0.13333333333333308
165,5,44547b0a,0.0,1.0,8.153005464480877,0.20000000000000018,8.153005464480877,0.20000000000000018,8.21584699453552,6.472677595628419,8.215846994535523,8.215846994535523,9.644808743169401,0.2142857142857144,0.0714285714285715,0.2142857142857145,0.2142857142857145,0.28571428571428586
