,N,graph,p_Bd,r,abs_time,fix_prob
53,3,42570a,0.9,0.85,4.54041947588551,0.28200016243417697
54,3,42570a,1.0,0.85,4.881134734391273,0.27741355717582644
55,3,42570a,0.0,1.0,3.0,0.33333333333333326
56,3,42570a,0.1,1.0,3.1052631578947367,0.3333333333333333
57,3,42570a,0.2,1.0,3.222222222222222,0.3333333333333333
58,3,42570a,0.30000000000000004,1.0,3.3529411764705883,0.3333333333333333
59,3,42570a,0.4,1.0,3.5,0.3333333333333333
60,3,42570a,0.5,1.0,3.6666666666666665,0.3333333333333333
61,3,42570a,0.6000000000000001,1.0,3.8571428571428563,0.33333333333333326
62,3,42570a,0.7000000000000001,1.0,4.0769230769230775,0.3333333333333333
63,3,42570a,0.8,1.0,4.333333333333333,0.33333333333333326
64,3,42570a,0.9,1.0,4.636363636363636,0.33333333333333326
65,3,42570a,1.0,1.0,4.999999999999999,0.3333333333333333
66,3,42570a,0.0,1.15,3.0,0.3488372093023256
67,3,42570a,0.1,1.15,3.1101294814577294,0.3521656640101345
68,3,42570a,0.2,1.15,3.2324250838639905,0.35543624998479834
69,3,42570a,0.30000000000000004,1.15,3.369028808817897,0.3586761282662829
70,3,42570a,0.4,1.15,3.522616005317007,0.36191561042366316
71,3,42570a,0.5,1.15,3.6965724960921116,0.36518963417319306
72,3,42570a,0.6000000000000001,1.15,3.895247299209608,0.36853980864836194
73,3,42570a,0.7000000000000001,1.15,4.1243214704086855,0.37201734436810047
74,3,42570a,0.8,1.15,4.391360478932455,0.3756873902233897
75,3,42570a,0.9,1.15,4.70666630056871,0.37963567612878224
76,3,42570a,1.0,1.15,5.084637824068366,0.38397907336647624
77,3,42570a,0.0,1.3,3.0,0.36231884057971014
78,3,42570a,0.1,1.3,3.1143192330660754,0.36865673231646384
79,3,42570a,0.2,1.3,3.241090268783561,0.37488949109274694
80,3,42570a,0.30000000000000004,1.3,3.3824925849488565,0.3810682184705259
81,3,42570a,0.4,1.3,3.54124290260186,0.38724986729820965
82,3,42570a,0.5,1.3,3.720771965464703,0.393499974238376
83,3,42570a,0.6000000000000001,1.3,3.9254759838701445,0.3998964327748842
84,3,42570a,0.7000000000000001,1.3,4.161082329973628,0.40653487672304794
85,3,42570a,0.8,1.3,4.435195022006375,0.4135366146036104
86,3,42570a,0.9,1.3,4.758132333520547,0.4210607237555197
87,3,42570a,1.0,1.3,5.144256940664129,0.4293231718381422
88,3,42570a,0.0,1.45,2.9999999999999996,0.3741496598639455
89,3,42570a,0.1,1.45,3.117970806992797,0.38321234390786985
90,3,42570a,0.2,1.45,3.2485464681534446,0.39212593145515545
91,3,42570a,0.30000000000000004,1.45,3.3939154306861514,0.40096227401845613
92,3,42570a,0.4,1.45,3.5567981146071985,0.40980115854677757
93,3,42570a,0.5,1.45,3.7406197453759304,0.4187340369729442
94,3,42570a,0.6000000000000001,1.45,3.949755139480732,0.4278691451697167
95,3,42570a,0.7000000000000001,1.45,4.189883015826773,0.4373387634346672
96,3,42570a,0.8,1.45,4.468511632341722,0.4473098507137405
97,3,42570a,0.9,1.45,4.795780888881718,0.4580001446495962
98,3,42570a,1.0,1.45,5.1857268622383765,0.469703423924876
99,3,42570a,0.0,1.5999999999999999,3.0,0.3846153846153844
100,3,42570a,0.1,1.5999999999999999,3.121186251194178,0.39615100566378053
101,3,42570a,0.2,1.5999999999999999,3.2550346786997566,0.4074932560267228
102,3,42570a,0.30000000000000004,1.5999999999999999,3.403723094822572,0.41873182082606153
103,3,42570a,0.4,1.5999999999999999,3.5699500356887945,0.429965775361921
104,3,42570a,0.5,1.5999999999999999,3.7571014492753627,0.4413080639167595
105,3,42570a,0.6000000000000001,1.5999999999999999,3.969485614646906,0.4528916012786981
106,3,42570a,0.7000000000000001,1.5999999999999999,4.212671293824525,0.4648778640236195
107,3,42570a,0.8,1.5999999999999999,4.493986254295534,0.4774693805621643
108,3,42570a,0.9,1.5999999999999999,4.823272540457233,0.49092849097986546
109,3,42570a,1.0,1.5999999999999999,5.214067278287465,0.5056065239551483
110,3,42570a,0.0,1.75,3.0,0.39393939393939387
111,3,42570a,0.1,1.75,3.1240426439232407,0.40772578665115966
112,3,42570a,0.2,1.75,3.2607355516637475,0.42127262113251596
