N,graph,r,p_Bd,initial_mutant_location,fix_prob,fix_time,abs_time
10,complete,0.5,0.0,512,0.001761252446183936,57.451285993849396,14.724412915851095
10,complete,0.5,0.1,512,0.0016622013812130347,57.11670058335679,14.603718879352268
10,complete,0.5,0.2,512,0.0015683844831824545,56.78520306078061,14.484906990706072
10,complete,0.5,0.30000000000000004,512,0.001479542121125347,56.456779100336284,14.36793969136973
10,complete,0.5,0.4,512,0.0013954266439972533,56.131413243769046,14.252780137587434
10,complete,0.5,0.5,512,0.0013158018813286048,55.80908897757001,14.139392196152732
10,complete,0.5,0.6000000000000001,512,0.0012404426610347658,55.48978880674914,14.027740439386111
10,complete,0.5,0.7000000000000001,512,0.0011691343440792883,55.17349432527106,13.917790139397859
10,complete,0.5,0.8,512,0.001101672375665091,54.86018628325909,13.809507261702258
10,complete,0.5,0.9,512,0.0010378618526101417,54.549844651071,13.702858458245792
10,complete,0.5,1.0,512,0.0009775171065493668,54.24244868035193,13.597811059907874
10,complete,0.6,0.0,512,0.006108173919879839,64.73375920102272,16.49338477699379
10,complete,0.6,0.1,512,0.005866710504528563,64.45551810212952,16.37573878932507
10,complete,0.6,0.2,512,0.005634021637169096,64.1784376396743,16.259517439969688
10,complete,0.6,0.30000000000000004,512,0.005409820431497114,63.902542092621275,16.144703476061725
10,complete,0.6,0.4,512,0.005193827959806377,63.62785449558511,16.031279666553434
10,complete,0.6,0.5,512,0.004985773101640494,63.354396671070724,15.919228813247237
10,complete,0.6,0.6000000000000001,512,0.004785392391494327,63.082189261508475,15.808533761273003
10,complete,0.6,0.7000000000000001,512,0.004592429865846488,62.81125176104686,15.699177409025703
10,complete,0.6,0.8,512,0.004406636909788357,62.541602547070795,15.591142717577577
10,complete,0.6,0.9,512,0.004227772103499059,62.27325891141246,15.48441271957974
10,complete,0.6,1.0,512,0.004055601068801226,62.00623709122576,15.378970527668258
10,complete,0.7,0.0,512,0.016219477104833867,71.45998852185681,18.61843539230067
10,complete,0.7,0.1,512,0.01580291993541331,71.26940053730524,18.514811449348322
10,complete,0.7,0.2,512,0.015395801323631896,71.07858935551272,18.41198927808326
10,complete,0.7,0.30000000000000004,512,0.014997945526493238,70.88757939930527,18.309966141126115
10,complete,0.7,0.4,512,0.014609178868935563,70.69639468116179,18.20873917171546
10,complete,0.7,0.5,512,0.014229329760617042,70.50505880265342,18.10830537798397
10,complete,0.7,0.6000000000000001,512,0.0138582287108969,70.31359495416068,18.008661647192895
10,complete,0.7,0.7000000000000001,512,0.013495708342058472,70.12202591486279,17.909804749922593
10,complete,0.7,0.8,512,0.013141603400821794,69.93037405298881,17.811731344216952
10,complete,0.7,0.9,512,0.012795750768192046,69.73866132632159,17.71443797967943
10,complete,0.7,1.0,512,0.012457989467692466,69.54690928294477,17.617921101518856
10,complete,0.8,0.0,512,0.03488058115378062,76.76086393891279,20.973151518894426
10,complete,0.8,0.1,512,0.034372954193182405,76.66611661222076,20.89725180383649
10,complete,0.8,0.2,512,0.033871420678030874,76.57082472398525,20.821627554672233
10,complete,0.8,0.30000000000000004,512,0.03337593101655212,76.47499654649965,20.746279902388487
10,complete,0.8,0.4,512,0.0328864355910722,76.37864034152642,20.671209939585346
10,complete,0.8,0.5,512,0.03240288476707906,76.2817643588228,20.596418720686106
10,complete,0.8,0.6000000000000001,512,0.03192522890217003,76.18437683468821,20.521907262155423
10,complete,0.8,0.7000000000000001,512,0.03145341835488388,76.08648599053494,20.447676542725752
10,complete,0.8,0.8,512,0.030987403493414223,75.98810003148124,20.37372750363132
10,complete,0.8,0.9,512,0.030527134704203797,75.88922714496772,20.3000610488501
10,complete,0.8,1.0,512,0.03007256240041732,75.78987549939677,20.22667804535337
10,complete,0.9,0.0,512,0.06324411477092418,79.98576291341949,23.331938533614675
10,complete,0.9,0.1,512,0.06286013366278635,79.9615889306926,23.293502239393263
10,complete,0.9,0.2,512,0.06247789300254941,79.93720551138905,23.25510027234319
10,complete,0.9,0.30000000000000004,512,0.06209738942746295,79.91261327473012,23.216732937803272
10,complete,0.9,0.4,512,0.0617186195480355,79.88781284429585,23.178400539606834
10,complete,0.9,0.5,512,0.06134157994825076,79.86280484798728,23.140103380071892
10,complete,0.9,0.6000000000000001,512,0.06096626718578587,79.83758991798288,23.101841759991608
10,complete,0.9,0.7000000000000001,512,0.06059267779222855,79.81216869070089,23.063615978624593
10,complete,0.9,0.8,512,0.06022080827329903,79.78654180675672,23.025426333685765
10,complete,0.9,0.9,512,0.0598506551090675,79.76070991092338,22.987273121336763
10,complete,0.9,1.0,512,0.05948221475417951,79.73467365208963,22.949156636177243
10,complete,1.0,0.0,512,0.09999999999999803,80.99999999999956,25.460714285714037
10,complete,1.0,0.1,512,0.09999999999999798,80.99999999999962,25.460714285714033
10,complete,1.0,0.2,512,0.0999999999999978,80.9999999999996,25.460714285714005
10,complete,1.0,0.30000000000000004,512,0.0999999999999983,80.99999999999942,25.460714285714058
10,complete,1.0,0.4,512,0.09999999999999801,80.99999999999955,25.460714285714033
