,N,graph,p_Bd,r,abs_time_uniform,fix_prob_uniform,abs_time_temp,fix_prob_temp
625,4,437e0a,0.9,0.4,4.2721742707472545,0.04239149032213441,4.2721742707472545,0.04239149032213441
626,4,437e0a,1.0,0.4,4.20689655172414,0.039408866995073934,4.20689655172414,0.039408866995073934
627,4,437e0a,0.0,0.55,5.135627530364375,0.12246963562753044,5.135627530364375,0.12246963562753044
628,4,437e0a,0.1,0.55,5.0834379376712775,0.11795858928857564,5.0834379376712775,0.11795858928857564
629,4,437e0a,0.2,0.55,5.031752160223611,0.11356505878330736,5.031752160223611,0.11356505878330736
630,4,437e0a,0.30000000000000004,0.55,4.980569393514169,0.10928704179164127,4.980569393514169,0.10928704179164127
631,4,437e0a,0.4,0.55,4.929888682145954,0.10512254776034839,4.929888682145954,0.10512254776034839
632,4,437e0a,0.5,0.55,4.879708925178267,0.10106959865156223,4.879708925178267,0.10106959865156223
633,4,437e0a,0.6000000000000001,0.55,4.830028881391251,0.09712622965220663,4.830028881391251,0.09712622965220663
634,4,437e0a,0.7000000000000001,0.55,4.780847174466353,0.09329048984524918,4.780847174466353,0.09329048984524918
635,4,437e0a,0.8,0.55,4.732162298080471,0.0895604428437001,4.732162298080471,0.0895604428437001
636,4,437e0a,0.9,0.55,4.683972620911659,0.08593416738828433,4.683972620911659,0.08593416738828433
637,4,437e0a,1.0,0.55,4.636276391554704,0.08240975790972697,4.636276391554704,0.08240975790972697
638,4,437e0a,0.0,0.7,5.294520547945203,0.16780821917808214,5.294520547945203,0.16780821917808214
639,4,437e0a,0.1,0.7,5.264221400378085,0.16436331209312038,5.264221400378085,0.16436331209312038
640,4,437e0a,0.2,0.7,5.234033651798211,0.16096484477074469,5.234033651798211,0.16096484477074469
641,4,437e0a,0.30000000000000004,0.7,5.203958191327696,0.1576125178245093,5.203958191327696,0.1576125178245093
642,4,437e0a,0.4,0.7,5.173995886893836,0.15430602959188944,5.173995886893836,0.15430602959188944
643,4,437e0a,0.5,0.7,5.144147585324053,0.15104507621808655,5.144147585324053,0.15104507621808655
644,4,437e0a,0.6000000000000001,0.7,5.114414112445367,0.1478293517392269,5.114414112445367,0.1478293517392269
645,4,437e0a,0.7000000000000001,0.7,5.084796273188232,0.14465854816492832,5.084796273188232,0.14465854816492832
646,4,437e0a,0.8,0.7,5.0552948516946845,0.14153235556021643,5.0552948516946845,0.14153235556021643
647,4,437e0a,0.9,0.7,5.025910611430596,0.13845046212676715,5.025910611430596,0.13845046212676715
648,4,437e0a,1.0,0.7,4.99664429530201,0.13541255428345828,4.99664429530201,0.13541255428345828
649,4,437e0a,0.0,0.85,5.412536443148686,0.21064139941690949,5.412536443148686,0.21064139941690949
650,4,437e0a,0.1,0.85,5.39946426706564,0.2088058042542221,5.39946426706564,0.2088058042542221
651,4,437e0a,0.2,0.85,5.386402380647146,0.20697989266682434,5.386402380647146,0.20697989266682434
652,4,437e0a,0.30000000000000004,0.85,5.373350913620445,0.20516365132657027,5.373350913620445,0.20516365132657027
653,4,437e0a,0.4,0.85,5.360309995212299,0.20335706671734555,5.360309995212299,0.20335706671734555
654,4,437e0a,0.5,0.85,5.34727975414552,0.2015601251360578,5.34727975414552,0.2015601251360578
655,4,437e0a,0.6000000000000001,0.85,5.334260318635479,0.19977281269363167,5.334260318635479,0.19977281269363167
656,4,437e0a,0.7000000000000001,0.85,5.321251816386692,0.1979951153160129,5.321251816386692,0.1979951153160129
657,4,437e0a,0.8,0.85,5.308254374589456,0.1962270187451804,5.308254374589456,0.1962270187451804
658,4,437e0a,0.9,0.85,5.2952681199164795,0.19446850854016204,5.2952681199164795,0.19446850854016204
659,4,437e0a,1.0,0.85,5.282293178519591,0.1927195700780605,5.282293178519591,0.1927195700780605
660,4,437e0a,0.0,1.0,5.499999999999999,0.24999999999999994,5.499999999999999,0.24999999999999994
