,N,graph,p_Bd,r,abs_time_uniform,fix_prob_uniform,abs_time_temp,fix_prob_temp,abs_time_uniform_1,abs_time_uniform_2,abs_time_uniform_3,abs_time_uniform_4,abs_time_uniform_5,abs_time_uniform_6,fix_prob_uniform_1,fix_prob_uniform_2,fix_prob_uniform_3,fix_prob_uniform_4,fix_prob_uniform_5,fix_prob_uniform_6
0,6,453f42770a,0.0,1.0,7.805555555555551,0.1666666666666665,7.805555555555552,0.1666666666666665,7.0833333333333295,7.0833333333333295,7.0833333333333295,7.0833333333333295,7.0833333333333295,11.416666666666659,0.09999999999999988,0.09999999999999988,0.09999999999999987,0.09999999999999988,0.09999999999999988,0.4999999999999996
1,6,453f42770a,0.1,1.0,8.711352657004822,0.16666666666666632,8.927777777777768,0.18505747126436745,8.170289855072456,8.170289855072456,8.170289855072456,8.170289855072456,8.170289855072456,11.416666666666654,0.12068965517241352,0.12068965517241355,0.12068965517241352,0.12068965517241352,0.12068965517241352,0.3965517241379304
2,6,453f42770a,0.2,1.0,9.789682539682529,0.1666666666666662,10.04999999999999,0.19090909090909042,9.464285714285706,9.464285714285703,9.464285714285703,9.464285714285703,9.464285714285706,11.416666666666652,0.13636363636363605,0.13636363636363605,0.13636363636363583,0.13636363636363605,0.13636363636363583,0.3181818181818175
3,6,453f42770a,0.30000000000000004,1.0,11.095029239766072,0.16666666666666632,11.172222222222212,0.1882882882882879,11.030701754385948,11.030701754385959,11.030701754385959,11.030701754385953,11.030701754385964,11.416666666666652,0.14864864864864835,0.14864864864864838,0.14864864864864835,0.14864864864864838,0.14864864864864838,0.2567567567567562
4,6,453f42770a,0.4,1.0,12.707516339869267,0.16666666666666632,12.294444444444434,0.17967479674796716,12.965686274509785,12.965686274509794,12.965686274509785,12.96568627450979,12.96568627450979,11.416666666666657,0.15853658536585327,0.15853658536585327,0.15853658536585336,0.15853658536585336,0.15853658536585327,0.20731707317073142
5,6,453f42770a,0.5,1.0,14.749999999999972,0.16666666666666619,13.416666666666643,0.16666666666666624,15.416666666666638,15.41666666666664,15.41666666666664,15.416666666666632,15.416666666666638,11.416666666666648,0.16666666666666613,0.16666666666666627,0.16666666666666613,0.16666666666666613,0.16666666666666619,0.1666666666666663
6,6,453f42770a,0.6000000000000001,1.0,17.42094017094014,0.1666666666666661,14.538888888888863,0.1503401360544213,18.621794871794837,18.62179487179484,18.621794871794837,18.62179487179484,18.62179487179484,11.416666666666645,0.17346938775510146,0.17346938775510137,0.17346938775510146,0.17346938775510146,0.17346938775510146,0.1326530612244894
7,6,453f42770a,0.7000000000000001,1.0,21.06313131313128,0.16666666666666619,15.661111111111085,0.13144654088050275,22.992424242424203,22.992424242424207,22.992424242424203,22.992424242424207,22.992424242424203,11.416666666666648,0.1792452830188674,0.17924528301886744,0.17924528301886736,0.17924528301886736,0.17924528301886744,0.10377358490566009
8,6,453f42770a,0.8,1.0,26.32407407407403,0.1666666666666661,16.783333333333303,0.11052631578947333,29.30555555555551,29.30555555555551,29.305555555555504,29.30555555555549,29.30555555555549,11.416666666666647,0.18421052631578885,0.18421052631578885,0.18421052631578885,0.18421052631578885,0.18421052631578888,0.07894736842105239
9,6,453f42770a,0.9,1.0,34.59126984126974,0.1666666666666658,17.9055555555555,0.08797814207650227,39.226190476190354,39.226190476190354,39.22619047619037,39.22619047619036,39.22619047619037,11.416666666666634,0.18852459016393347,0.18852459016393341,0.18852459016393347,0.18852459016393344,0.18852459016393344,0.05737704918032758
10,6,453f42770a,1.0,1.0,49.47222222222203,0.1666666666666655,19.027777777777708,0.06410256410256367,57.083333333333115,57.0833333333331,57.083333333333115,57.083333333333115,57.083333333333115,11.416666666666625,0.19230769230769093,0.19230769230769096,0.192307692307691,0.192307692307691,0.19230769230769096,0.03846153846153821
11,6,453f626f0a,0.0,1.0,11.044292983790617,0.16666666666666627,11.044292983790617,0.16666666666666624,13.795902197431332,8.575678749429189,8.575678749429189,8.575678749429189,10.916035715511486,15.82678374151333,0.19999999999999943,0.09999999999999974,0.09999999999999974,0.09999999999999974,0.09999999999999959,0.39999999999999925
12,6,453f626f0a,0.1,1.0,12.087920961343576,0.1666666666666661,12.321576502977404,0.17613714708503536,14.5768178772216,9.99105040108994,9.99105040108994,9.99105040108994,12.362966762582802,15.61458992498723,0.19505120314785773,0.11837259748776637,0.11837259748776637,0.11837259748776637,0.11292438076981222,0.3369066236190276
13,6,453f626f0a,0.2,1.0,13.300294443650452,0.16666666666666607,13.607756622264143,0.17977736549165058,15.450349194317601,11.613612657958557,11.613612657958555,11.613612657958557,14.094847398011865,15.415732095697585,0.18923933209647423,0.13358070500927596,0.133580705009276,0.133580705009276,0.1261595547309827,0.28385899814471166
14,6,453f626f0a,0.30000000000000004,1.0,14.728031210608757,0.16666666666666577,14.91226499860836,0.17884085780786294,16.431741210703432,13.507602926619306,13.507602926619297,13.507602926619297,16.18841538017278,15.225221892918425,0.18258621608656128,0.14634081338947774,0.1463408133894773,0.14634081338947744,0.13962475347795847,0.23876659026704247
15,6,453f626f0a,0.4,1.0,16.4356833691148,0.16666666666666605,16.24522211114253,0.17424445436950955,17.542182704086738,15.761576430715769,15.761576430715746,15.761576430715737,18.7489627075441,15.038225510910706,0.17507815989280878,0.15721304153639967,0.15721304153639953,0.15721304153639953,0.1531933899062074,0.2000893255917813
