N,graph,r,p_Bd,fix_prob,fix_time
20,complete,0.99,0.0,0.0469,348.21535181236675
20,complete,0.99,0.1,0.0488,370.27868852459017
20,complete,0.99,0.2,0.047,353.4574468085106
20,complete,0.99,0.30000000000000004,0.0435,364.0735632183908
20,complete,0.99,0.4,0.0452,357.26769911504425
20,complete,0.99,0.5,0.0453,362.6379690949227
20,complete,0.99,0.6000000000000001,0.0459,353.39433551198255
20,complete,0.99,0.7000000000000001,0.0478,336.6192468619247
20,complete,0.99,0.8,0.0433,340.29792147806006
20,complete,0.99,0.9,0.0443,370.96162528216706
20,complete,0.99,1.0,0.0436,361.23394495412845
20,complete,0.992,0.0,0.0459,361.82570806100216
20,complete,0.992,0.1,0.045,382.4377777777778
20,complete,0.992,0.2,0.0464,357.48922413793105
20,complete,0.992,0.30000000000000004,0.0424,356.9316037735849
20,complete,0.992,0.4,0.0492,355.0467479674797
20,complete,0.992,0.5,0.0443,378.00677200902936
20,complete,0.992,0.6000000000000001,0.0458,369.6877729257642
20,complete,0.992,0.7000000000000001,0.0492,345.8231707317073
20,complete,0.992,0.8,0.0463,355.44708423326136
20,complete,0.992,0.9,0.0429,338.93939393939394
20,complete,0.992,1.0,0.0447,351.74720357941834
20,complete,0.994,0.0,0.0458,353.1157205240175
20,complete,0.994,0.1,0.0463,352.4254859611231
20,complete,0.994,0.2,0.0482,362.1846473029046
20,complete,0.994,0.30000000000000004,0.0471,369.81316348195327
20,complete,0.994,0.4,0.0459,375.1416122004357
20,complete,0.994,0.5,0.0488,371.8483606557377
20,complete,0.994,0.6000000000000001,0.0493,351.98782961460444
20,complete,0.994,0.7000000000000001,0.0461,361.6594360086768
20,complete,0.994,0.8,0.0494,345.1417004048583
20,complete,0.994,0.9,0.0492,360.2093495934959
20,complete,0.994,1.0,0.0467,347.37687366167023
20,complete,0.996,0.0,0.0478,348.5062761506276
20,complete,0.996,0.1,0.0509,340.7229862475442
20,complete,0.996,0.2,0.0483,368.32919254658384
20,complete,0.996,0.30000000000000004,0.0503,358.59642147117296
20,complete,0.996,0.4,0.0523,356.3728489483748
20,complete,0.996,0.5,0.0428,358.11682242990656
20,complete,0.996,0.6000000000000001,0.0496,357.758064516129
20,complete,0.996,0.7000000000000001,0.0503,359.4512922465209
20,complete,0.996,0.8,0.0488,380.26024590163934
20,complete,0.996,0.9,0.0497,364.76056338028167
20,complete,0.996,1.0,0.0496,361.008064516129
20,complete,0.998,0.0,0.0515,350.58446601941745
20,complete,0.998,0.1,0.0498,369.4236947791165
20,complete,0.998,0.2,0.0508,362.75984251968504
20,complete,0.998,0.30000000000000004,0.0492,360.1910569105691
20,complete,0.998,0.4,0.0462,363.8225108225108
20,complete,0.998,0.5,0.0508,366.01574803149606
